language,enjoyment,asses,age,gender,education,comments,problems,fairprice,exptid,workerid
English,1,Yes,57,Female,3,,No,85,1,d8d62c57840c8e0a51fb72860bfe164e
English,2,Yes,29,Male,2,,no,.75 is ok,1,5eff2a5b97feb14f554ebc51944dae7a
English,1,Yes,36,Male,3,,,1,1,9c0696f8a30375dec907d03d42d93b32
english,1,Yes,72,Male,1,good survey,no,75,1,df3af676f167171a8a1843af689c870f
English,2,Yes,29,Male,2,,no,75,1,e0a1c0e64daab0819b1db0d4897f7ff3
english,2,Yes,36,Male,3,,no,.6,1,642a49df72926489f79a7c5b94275b79
English,2,Yes,45,Male,2,,No.,Yes,1,fe89fc556ab0eb0cdeb156e94f9bfa62
english,2,Yes,28,Female,1,,,.75,1,1cc85b35466fee53c2e5803e5fac9598
English,1,Yes,40,Female,3,Its very interesting survey.,no,7,1,5e57b0e7b99fcd6d62ec6c8a75543836
English,2,Yes,40,Female,3,,No,1.00,1,a7cb89440bf644f18e0ed6878cce32b5
English,2,Confused,26,Female,0,,,.75,1,637f7e5a6aa0ec3c3e18213566590268
english,1,Yes,50,Female,2,,no,yes,1,3a3f39850dc2c6205962b460f087ece4
English,1,Yes,25,Male,2,,No,0.75,1,89d5c13591a787067f4abb3b55ec9303
Spanish,1,Yes,26,Male,3,"The repeating phrase became hypnotic and song-like. If that wasn't intentional, it could affect the outcome of your results.",,2$,1,5f781de81861f05f62b6d44c5ebe3d93
English,1,Yes,27,Male,3,"No comments, it all made sense and was cute~",No problems!,.75,1,28f7c07b9f7aba654ae0f7ed872873f1
English,1,Yes,28,Female,3,very nice task,no,1,1,dc71b7ca22ff8a882d624bc665b32b4e
english,2,Yes,26,Male,1,was fun thanks,no,0.50,1,d94dfc66537c84e693bdfe623cc2bb80
English,2,Yes,39,Female,2,No comments.,No.,0.80,1,93c62d41407447456dd338c2b2299ec4
English,1,Yes,36,Male,3,,,.75,1,9c0696f8a30375dec907d03d42d93b32
English,1,No,34,Female,3,,none,0.75,1,ce4bbee643a276459545f5492b0f5aac
English,2,Yes,51,Female,4,Just the right length and interesting. ,No,1.00,1,fcae08f2d0eae15f88cc075ef84950b4
English,2,Yes,37,Male,3,,no,.80,1,3841cdf562c6a2a01ba58db0dc34864b
english,1,Yes,38,Female,3,,No,0.75,1,8bd7ad893c274f22ebdfa5cea8733697
United States,2,Yes,42,Male,1,,no,0.75,1,c57782a4b3ef49679915e2010a276de5
English,2,Yes,25,Male,2,,,0.75,1,fc00f47015ccb1e48cc262392710b8c1
english,1,Yes,20,Male,1,,no,this pay is great,1,a22f12750983b92b938458c831b8a36a
ENGLISH,2,Yes,47,Female,4,,NO,$1,1,8e4078d8d094fbe4ec6651c81e6c829e
English,1,Yes,30,Male,3,Nice,No,.75,1,703efe5a0d00cdfd8f70865ce33e75e9
english,1,Yes,28,Male,1,,no issues,1.00,1,649427444a02af7b390b87bac33ca643
English,2,Yes,62,Female,3,,none,2,1,327c5f70b91cd5c431ce81db11b8e7ab
English,2,Yes,22,Male,3,,No,.75,1,7302e77ae276a0cbbf3cd41120043481
,-1,NA,,,-1,,,,1,59663df403f1e22cdf81f6af46dba6b1
English,1,Yes,25,Male,3,,None,.75,1,3fb8cb0a0aaacba1d013a7096497be5e
English,2,NA,31,Male,2,,,.75,1,92c86da8b106d0799660c72f7d00d825
english,2,Yes,27,Male,4,nice,nothing,Information about the flower,1,bdf2efa319c3076de08b4bd22fac48f1
English,0,Yes,36,Male,3,lower the volume,lower the volume,1,1,5b7a51a02f8a00afda9dc0476fd9e718
English,2,Yes,68,Female,1,,no,75,1,8db6d93600cd1f7a16462698465b66fd
English,2,Yes,39,Female,3,,none,.75,1,722367d0eaeaa5e549a111fec9ad9dc8
English,2,Yes,30,Female,3,This was fun :),none,0.75,1,09b63a7d55f28286abeebcef713b80b9
English,2,Yes,56,Female,3,,no,1,1,f420416ca76af6a53d3e43c85f0942f6
english,2,Yes,53,Female,2,O.k. hit. Thanks for allowing my input.,No problems,.70,1,16ee627974e97f030d8f2c92e4fdcc64
english,1,Yes,39,Female,2,,none,yes,1,4e4edb85d1f987ec58da384ae14ae5f4
,-1,NA,,,-1,,,,1,59663df403f1e22cdf81f6af46dba6b1
English,2,Yes,37,Male,1,,no issues,.75,1,50e771dc707edad6ab2a20fac03db4be
English,2,Yes,39,Female,3,,No,1.00,1,ab315ed819cdc44130b94ea0d148cad4
English,1,Yes,32,Male,2,,no,.50,1,aab473010243744feea19302df0f331b
english,2,NA,23,Female,3,the study is more important and interested,,scientist,1,ca4f0c28cb45906538d9d389f49affbe
English,1,Yes,36,Male,3,,"No, there weren't any problems.",$0.75,1,b3d410c69fa2daa1b48423fdecdb686a
english,1,Yes,35,Male,3,,no,0.80,1,5cba068211dc8124b1eee7ca8c4f4102
English,1,No,30,Female,3,,,,1,9b75637cfdd4ff2776edefaccb98c8ce
english,2,Yes,27,Female,3,,,1.00,1,ba9f9d8a264bd28c2c48fd2b9c136c09
English,1,Yes,37,Male,3,,no,.75,1,0ec87610847ba7d866f1a10bd42adba9
English,2,Yes,32,Female,3,,no,1,1,ed66bce6e29fc8f85569c905aaaed8ab
English,2,Yes,30,Female,4,very interesting experiment.,nothing,0.75,1,560e67108ce15061ea736ff7071e2c90
English,2,Yes,44,Male,3,Blickets squeak,No issues,.75,1,4773b36ce15837b35122da528a27623d
English,1,Yes,32,Male,3,,none,.75,1,ecac4b91285d44f0d5f1a964e71a82aa
English,2,Yes,23,Male,3,,,1.0,1,602f491d5396dce1a7d84b5dfc94055d
English,2,Yes,35,Male,1,"I thought the first two objects would be at or near 100% for another of the same objects, but I picked a lower percentage for the third/flowers object having a black center because I was just thinking how flowers have such variability even among the same kinds and perhaps flowers on this other planet would potentially also have differences even though they are called or have the same name. Hope that makes sense ;) Thanks!",no,.75,1,89cb85a4d901a652cbba9f5ac1fee0bf
English,2,Yes,40,Female,4,,no,1.00,1,3ceeef0fcf15c0184e45a7fe5c395cba
English,2,Yes,52,Female,4,"Don't tell other MTurk workers I said this, but the pay for this HIT is very generous. You could lower the pay to $0.50 USD and it would still be considered well paying. Just thought I'd mention it, in case you have a limited budget. Thank you for your generosity today!!",,0.50,1,8c7bb985024fdfe0a3fa81fd6cfad502
,-1,Yes,,,-1,,,,1,e40220da68a1619ff5900d32036179d9
English,2,Confused,42,Male,2,"I read the directions, and think I did things correctly, but I'm not sure why? Or why I needed to hear what I was reading. I have no idea what this was about, but it was different and interesting.",No.,.75,1,74ab37dd909cb1d3a225cf140ac10004
english,2,No,31,Male,3,,no,0.66,1,559b65586c22322619c13d097b3cbcbb
english,2,Yes,69,Female,2,nice,bo,.75,1,94f51f8c910ad3a0da8ccc831ccfb871
English,2,Yes,25,Male,3,,No,0.75,1,ee904eb91c10f7b74c18595115fc2c84
English,1,Yes,23,Male,2,n.a thank you,none,a bonus would be nice,1,4fa7b93051b85bf482e370990b370f60
English,2,Yes,25,Male,3,,,,1,89d02163ea1a4167acca1bdfb8fff2d2
english,1,Yes,25,Female,3,,,,1,9bcc91a51a105669cd40d31b6fc408d2
English,2,Yes,24,Female,3,,no,yes,1,54e575bb42f972652e868ebbb9e9bc0c
English,2,Yes,34,Female,1,,no,.75,1,76d454e311bcf54b2083286bdc355002
English,2,Yes,32,Female,3,,No,.75,1,296893703f9382f247f38c1836f6d25d
English,2,Yes,20,Male,2,Fun!,"NA",0.75,1,da523dbce9613e781a284f101c2c7b85
English,2,Yes,28,Male,2,"Did the scientist say, Oops, because the red diamond wasn't a blinket?",No,Yes,1,f1c05922b41376e691e4a6dcbec4e6c9
English,2,Yes,30,Male,4,Good survey,Nothing,yes,1,9bd9d59f9810fb74fd0b1cc8872a19c2
english,2,No,37,Male,3,"I have none, thanks!",I had none,1,1,a45409c7745759bd14487bcd2678c9aa
English,2,Yes,29,Male,3,"decent hit, thanks",none,1.00,1,556195759a54bad245f5cff4df04cf38
English,0,NA,27,Male,3,NICE,,,1,9a835f8833d9e03c4604f6af2f117c6f
english,2,Yes,36,Male,3,,no,.75,1,642a49df72926489f79a7c5b94275b79
English,2,Yes,36,Male,3,,no,1.00,1,38b7b1df45e0cd1503261ccbc03ce365
English,1,Yes,34,Male,1,,,0.75 ,1,2c423fc090f0d8a2b9d8fdd92f1ae72f
English,1,Yes,32,Male,2,,none,1.00,1,6118989e529970e361937c2b93ec220c
English,2,Yes,25,Male,3,I laughed when the blicket squeaked.  Thank you for having me.,"No, everything was fine.",0.75,1,1b54759ea55719e7c654aedd3f1b73b4
English,1,No,37,Male,4,No comments. Thanks!,no problems,0.75,1,bcc71443c233f3ce1dbab85f6716fd5e
English,1,Yes,23,Female,3,,,.5,1,de5cb29f97fcb80bfd845738c13dcd63
English,1,Yes,19,Male,2,,No,$1,1,b7c3cc9a95e5ab4499ed18c18538183c
english,1,Yes,72,Male,1,good survey,no,50,1,df3af676f167171a8a1843af689c870f
English ,2,Yes,28,Female,3,,no,0.75,1,d24b6499242630d18a3e65bdb53b36d1
English,1,Yes,25,Female,3,,No,0.75,1,f2484e331c36f6b40d1eeb5c5ed9b3ec
English,2,Yes,28,Male,1,Enjoyed it! Thank you!,None at all,0.75,1,0d00290f86c1fdd44430baab44cdf892
English,1,Yes,31,Male,3,,No,1.00,1,5e7dab1a672e527980a596c91c974f1b
English,2,Yes,30,Male,3,Good Experiment ,no,yes ,1,2167c1301eb705e7299c4bace1725a58
english,2,Yes,25,Male,3,good,nothing,0.75,1,70c9e4ba55dad2b447cf16f5777269b8
English,1,Yes,28,Female,2,,No,1,1,464981edf5cdab092636a34419e93ef3
english,1,NA,32,Male,3,,no,0075,1,d07b32c643fe776e0b618c7c91884b62
English,2,Yes,28,Female,2,good,"NA",80,1,272e5dfe785192fa4db4f305fe20fea6
English,2,Yes,28,Male,2,It was interesting.,No,1.00,1,95911c106bdd52c0ef07b3b58c51774a
english,2,Yes,22,Male,3,interesting,no,.70,1,5e58cc6f4906c5049bb9b274f588e694
English,2,Yes,31,Male,1,This felt like an episode of Tim and Eric.  I was uncomfortable and amused at the same time.   Great Job!,,This is fair,1,4469c506a752db8ceb7374029a56114f
English,2,Yes,26,Male,1,,,.75,1,027fbbda9adcb245e6df2d1f4bbcf843
English,2,Yes,35,Male,4,,none,0.75,1,f4f53a5c3d621f79197d883838ccab47
English,2,Yes,33,Male,2,None,None,0.75,1,619bf18baf4b345ecd6c4b5bf9334e23
English,2,Yes,23,Male,3,,,1,1,602f491d5396dce1a7d84b5dfc94055d
english,2,Yes,56,Female,1,,no,.75,1,da2b12f760c3e84d5a1f66117b1c2cc3
English,2,Yes,42,Male,2,No comments. Thanks for the HIT.,I encountered no problems.,"Whatever price you are willing to pay is fair, I always have the option of not selecting the hit.",1,706d4b30bc3b0ce9968775d1b77e1dbb
English,1,No,29,Male,3,,no,yes,1,a6f3f6d193b170fdb5900d830f6c8cb4
English,2,Yes,50,Female,3,Loved this HIT and would be happy to do more.,No.,Yes.,1,6cc01021ead23ad51e6c3fb49e0363df
English,2,Yes,24,Female,2,,No,.50,1,34fc2707c7831a3d78e1f9199b8d93ac
English,2,Yes,28,Male,3,It was a good experiment.,nothing,1,1,a72041be6bfb9efccc9dad71258f0b52
english,2,Yes,35,Male,2,"the overcompressed LOOK AT THIS voice made it seem very demonic, good halloween spirit",nope,.75,1,7ac027496c89792ccbfe768f58e4161c
English,2,Yes,59,Female,4,I never heard someone pronounce evergreen as if the first letter is an a. I was intrigued by the accent.,no,1.00,1,be5c2dd55c4b52bb5c508ef7f5cb0ed3
United States,2,Yes,29,Female,3,Its very interesting i would like it,No,0.75,1,bf110a9ab2557fabd5c74bcd7f9a5f35
English,2,Yes,30,Male,1,"I didn't necessarily understand the experiment or what it was testing for, but it was interesting",none,.75,1,d1338b2812359f06a72f0aeda647bfef
English,2,Yes,28,Female,2,,,yes,1,aa43d6fa48885cc0f3f8a486cf17bd73
English,1,Yes,35,Male,3,,no,.75,1,8c7fd3e86562c116cdb76351ab4f99bd
English,1,Yes,30,Female,3,,No,.75,1,51eb30bbbb106d7312c6ce439d0bfcac
English,2,Yes,62,Male,3,,no,0.75,1,0b2ea3ef2837693a52fa9509df3501b1
English,2,Yes,23,Male,3,,,1,1,602f491d5396dce1a7d84b5dfc94055d
English,1,Yes,40,Female,3,,No,The pattern were used here for the identification of animals and plant,1,1f28a7cf89714d261c716240ba471f48
English,2,Yes,25,Male,3,,No,0.75,1,ee904eb91c10f7b74c18595115fc2c84
English,1,Yes,36,Male,3,,The audio was a little uneven and got loud at some points,.75,1,17ee5d905a2952f9b89fb10175466770
English,1,Yes,37,Male,3,,no,0.75,1,e8c8de1749bd15d2b9fe2c04aa943dca
English,2,Yes,61,Female,2,,no,.75,1,17ab34eac150b6fa21a9fb344c971020
english,2,Yes,32,Female,2,ty,no,.75,1,39f64d978c0277f59f0a4341ec3113f8
english,1,Yes,30,Male,3,,,1,1,0a053a020885bf42ef821cc479d85309
english,1,Yes,25,Male,2,ty,no,unsure,1,0392d94490b228f5d3b848f083507a08
English,-1,NA,28,Female,1,,,,1,5f09ca5a6ec6ebbc4f8a5af97f1d87df
English,2,Yes,37,Male,2,,I have no idea what the test word was supposed to be.,.75,1,a152ad05d02dfd73e89c43644ae1c2bc
english,2,Yes,40,Male,3,,,yes,1,9295889a4c2642d5ff952a7b9a89ada3
english,2,Yes,24,Female,1,,,0.75,1,65ce2f85d05c5426d43bf214b81d67f5
English,2,Yes,48,Male,2,I figured behavior might not be 100% but physical characteristics would be.,no,1.00,1,f3c1172b5939af26adaf04c9d84972b1
English,2,Yes,25,Male,2,,,0.75,1,eac605a670b8d8beb74503980aea1f55
English,2,Yes,33,Male,3,This is better than most HITs I've worked on.,I didn't encounter any error,1.00,1,e706ebeeb8c4544a6e380da4728d60b5
English,2,Yes,57,Female,2,Thanks,None,0.75,1,e1fc1f39a7fb6628601bb4bed93cc7bf
English,2,Yes,23,Male,3,,,1.0,1,602f491d5396dce1a7d84b5dfc94055d
English,1,Yes,32,Male,3,,N/A,$1,1,9c539708c26be82c6c51dfdcc006b925
english,2,Yes,26,Male,3,none,none,2.00,1,929306f2cb3d9aae17cfd3e385120f6b
english,2,Yes,33,Male,3,nice,good,80,1,bf3d495502820808a9f1d22fc14345d0
English,2,Yes,27,Male,1,I love these HITs!,None,0.75,1,d970dc338197df2e38ee3edcfc48b37c
English,1,Yes,33,Male,2,"It was confusing at first. I screwed up on the first answer, but I understood at afterwards. My apologies. Thanks.",No problems.,.75,1,b051ccb94b01db37002bcc8f0de29e5e
English,1,NA,56,Female,2,The voice in the beginning could have been clearer,,1.00,1,037374fa55f120f2d0cf32f62894436c
English,2,Yes,29,Male,2,"This was a lot of fun, I really enjoyed it! Thank you!",None,.75,1,c6f552eea653437fd6b9d1a5d54bb5e3
eng,2,Yes,59,Female,2,not entirely sure if i did it correctly,no,yes,1,f6b7eea6b1ab8efad9fdf5a377e2f18d
English,1,Yes,39,Male,3,,No,1.50,1,46ba3bcdd5a89312dcdbe67e6f4ddfb2
english,1,Yes,25,Female,3,good,no its good,1,1,86ceca15b86b3385f2db70c61c06619d
English,1,Yes,25,Male,2,,,1.00,1,65f8ee231681cd7a7e07c08250048d2d
English,2,Yes,36,Female,2,I liked it having objects we normally see but with strange names,Everything worked well.,.50,1,db2f97936c5e27de0b42d6faf32170e9
english,2,Yes,50,Female,3,nice,no,nice,1,94f51f8c910ad3a0da8ccc831ccfb871
English,2,Yes,29,Male,2,Cool,None,.75,1,571bcf2cc52ec53143636945a38ddf35
english,2,Yes,33,Female,1,Thank you for the opportunity to participate!,no,yes,1,f26af7723fd7061775295588923814e2
English,2,Yes,53,Male,3,,,.75,1,5aa7fd62dd51fb12ef0bc4a5d37082ea
english,1,Yes,33,Male,2,,no,yes,1,de28801c8cfb5ea2f861bad0ac08aed3
English,2,Yes,23,Male,3,The native language field is tagged as country I believe. ,,1,1,602f491d5396dce1a7d84b5dfc94055d
english,1,Yes,30,Male,3,,none,1,1,c128f4d5acb3e745be065c21c4829ef6
english,2,Yes,28,Male,3,very interesting,no,0.75,1,1069d60b47a08b20c68b12952f03de65
English,2,Yes,28,Male,2,good,no,yes,1,650200913fa6d05e5eaa8c7db3635fbd
english,2,NA,36,Female,3,none,no,1.00,1,8f3b9b5e6fc4884f9e85cb864ce8f4e4
English,2,Yes,28,Male,3,good,na,0.75,1,ece3e0b820cfe34db40605662cbbe2d7
English,2,No,18,Male,2,,,0.75,1,1fb6284abaca3e766f0c4d4c77880445
English,2,Yes,49,Female,3,"Experiments like this are really fun.  I like alien language experiments, but having the pictures and animations makes it even better.",No,.75,1,756076105413ba3d5214bd93649943c1
,-1,NA,,,-1,,,,1,59663df403f1e22cdf81f6af46dba6b1
English,1,Yes,31,Male,2,,None,1.00,1,92dc42e3c612da54ff7a0ae027406d30
english,2,Yes,35,Male,3,good,no,o.75,1,811e60304f44e6ac5ce9cb414f7daa18
English,2,Yes,31,Female,3,Fun HIT!,No,0.75,1,6345303f30b70b06d0818ca0c104c662
english,1,Yes,28,Male,3,,no,1,1,2f6e9b13c43c91e8cb349e558a78e66c
English,2,Yes,23,Male,3,,,1,1,602f491d5396dce1a7d84b5dfc94055d
english,2,Yes,32,Female,1,,no,.75,1,736596d900bb45f1ccc616d9d3f80b1d
English,2,Yes,26,Female,3,,No.,0.75,1,4fa97e0e73bda8f09288212b455762dd
english,2,Yes,54,Male,0,none,none,.75,1,2d801498c1be4decd7f8a17345c8ef45
English,1,Yes,24,Male,3,,no,1.00,1,4752819fbcc175629a8a409471d22d2e
english,2,Yes,36,Female,2,,no,.75,1,0bd6cc8256d57837e52252e171e8a8c2
english,2,Yes,63,Female,1,,no,.80,1,45211556388a209258be70087a4ade10
english,2,Yes,30,Female,2,this was very fun! and engaging ,no,0.90,1,93ac7cae9f72afc774f8a06efa4d338d
,1,Yes,27,Male,-1,,no,1,1,916a9dd0566949e0d6c8a8c812b96428
,2,No,65,Female,2,very nice experiment,no,nice,1,e514ca4dbd7061aadb16c3f04714b6d5
english,2,Yes,26,Female,3,,no,0.75,1,35b0964daefc6302cb824fcf0839fce7
,-1,NA,,,-1,,,,1,7437924f309d89c86ebc683fe903ced4
english,1,Yes,24,Male,3,nice,no,no,1,90b00e0895f30b64de17f7297f370dbf
English,2,Yes,25,Male,1,,,,1,bed5d1991f552bd1277b210bf41ffe2e
English,2,Yes,23,Male,3,,,1,1,602f491d5396dce1a7d84b5dfc94055d
English,2,Yes,28,Male,2,"The pronunciation of Oh, look at that! was fabulous. ",,0.60,1,a75e66d1f43304c58570720b1b92b421
English,1,No,40,Female,3,,,2.00,1,b5432fbdfc14e2207b475cbdf6902124
english,2,Yes,30,Male,3,nice experiment,no,yes,1,74be342338eedaa77282deb62193e616
English,2,No,32,Female,1,,no,1,1,ed66bce6e29fc8f85569c905aaaed8ab
English,2,Yes,43,Female,1,It was interesting and fun,no,1.00,1,1d7fb4cddb81536e8e10012338a9806a
English,2,Yes,34,Female,4,,no,0.75,1,42d565239d187f197a683ecc8d1c744b
English,1,Yes,65,Female,2,At first I thought you were trying to trick us.,no,.75,1,d6feaef739d85e87a8e41c04c3ffe9f6
English,2,Yes,27,Male,1,,No,.75,1,d1ea69c392e436eb78fce9a5607f17fa
English,1,Yes,36,Female,3,,No,0.75,1,5c2c3c16adf466b3438d4d43f3714844
English,1,NA,31,Female,3,It was rather monotonous. ,none,0.75,1,438f95e6f9713a376bef2bd0a8c214b3
English,2,Yes,34,Male,3,,Nope,.75,1,bf8c489b5332ede07578a8010613208e
English,1,Yes,45,Female,2,"The test word was really odd, and I still don't know if it was right.",,0.75,1,3c1d3dced02667537f6e8124b33cf77f
english,2,Yes,35,Male,2,,i came across no issues,.75,1,a5d5de6e1c4b0cadac45f76e528ab9b7
English,2,Yes,20,Male,1,,None :),.75 :),1,67821a0ea91fd568f764a4a6a4839c14
English,2,Yes,30,Female,3,I would be interested in doing more experiments like that with a wider variety of questions.,No,.75,1,8a3748f64ded4495b02345167a0bd9de
English,2,Yes,55,Male,2,,no,.75,1,eb7f0f5373b533b5a577cab81d7f2551
English,2,Yes,41,Male,3,,No,1.00,1,e2d8df5ca3fd107c877df2bca6661b5e
ENGLISH,2,Confused,53,Male,3,,NO,YES,1,3cbdca66bdda4d5f42412f41a6d5d209
english,2,Yes,67,Female,2,,"no, except the recorded word on the first page was not a real word, but I assume it was intentional",75,1,8db6d93600cd1f7a16462698465b66fd
english,1,Yes,48,Male,3,no comments,no problems,.75,1,8617ef754cf8411e46c83cb7f820273a
,-1,NA,,,-1,,,,1,7437924f309d89c86ebc683fe903ced4
english,2,Yes,66,Male,3,Very very nice study !,,0.75,1,0090fb001c57be368c0f222b2209993d
english,2,Yes,30,Female,2,fast and easy survey. good pay.,,yes,1,8817a31b65faa1fb130ae682baa8e8f3
English,2,Yes,32,Female,1,I really enjoyed this experiment. I hope to do another soon.,No,Yes,1,f6ae8c0fed6a2e2f9102e8eeac28b419
English,2,Yes,25,Female,2,N/A,No,Yes,1,83ba99827745a87984e94a91d98ff2cf
United States,1,NA,23,Male,2,,,5,1,e0b203f972344d3274cac5721caa8d48
English,2,Yes,31,Male,1,,Everything went fine and I didn't have any problems.,.75,1,a724c4888a8758dacaa5ae1cc557d246
English,2,Yes,23,Male,3,,,1,1,602f491d5396dce1a7d84b5dfc94055d
,-1,NA,,,-1,,,,1,7437924f309d89c86ebc683fe903ced4
English,2,Yes,40,Female,3,Short and fun. A good study. ,none,.75,1,44e599b591615f98a20c04f2aa1feaf9
English,2,Yes,40,Male,3,Very interesting and knowledgeable of this survey.,no,2,1,5435f80cfbb6fb8c41a6138e77b0147a
English,1,Yes,46,Female,3,,none,.75,1,1812691745730b33372a172e7fba2223
english,2,Yes,25,Male,3,,,2,1,732924ec1e3d2963cb413691a85d531e
English,2,Yes,36,Male,2,,,$1,1,6950cb52300752d3a9c923dc6489a91a
English,2,Yes,34,Male,3,None.,No,.75,1,ee0d7ec3ec8e7d78cd625d91b1f87c8a
english,2,Yes,58,Female,4,This was a welcome change from what I usually do.,It asked about a black center of the flower. It looked blue on my monitor. I was worried that it was supposed to be black.,yes,1,ec1e162e94bccdd6477c8132d9c32ca7
English,2,Yes,23,Male,3,,,1,1,602f491d5396dce1a7d84b5dfc94055d
English,2,Yes,32,Male,3,none,none,yes,1,548d15066a286e3553ee112090aac1aa
English,2,Yes,37,Female,2,,No,.75,1,ef88ea37c3c7b14f9d12535f24cafe1e
English,2,Yes,67,Male,2,,no,yes,1,e40369255bddee2b36383fc2071e80d8
